iter	RMSE
0	26.91757942
1	25.63493835
2	24.41553835
3	23.24709922
4	22.12374624
5	21.06053257
6	20.04313072
7	19.08395047
8	18.17628471
9	17.31100061
10	16.47801213
11	15.71149242
12	14.9666091
13	14.25725262
14	13.58726913
15	12.94356509
16	12.35358206
17	11.77734152
18	11.22147499
19	10.68432654
20	10.17520866
21	9.692912842
22	9.236925901
23	8.80550054
24	8.392408813
25	8.001067019
26	7.63313093
27	7.277184627
28	6.945622977
29	6.63712959
30	6.336402427
31	6.059286196
32	5.784939755
33	5.530883304
34	5.281997906
35	5.039107263
36	4.807035179
37	4.592604983
38	4.381887193
39	4.188865958
40	4.003369118
41	3.822152172
42	3.648086617
43	3.485873944
44	3.329132585
45	3.188356976
46	3.05939754
47	2.933797028
48	2.809943539
49	2.69286019
50	2.584922252
51	2.478199634
52	2.379898635
53	2.281988487
54	2.193078809
55	2.105290199
56	2.026126941
57	1.948864721
58	1.87719282
59	1.808354138
60	1.74348104
61	1.68346026
62	1.626570528
63	1.573507522
64	1.520843058
65	1.471667251
66	1.426527692
67	1.386463391
68	1.345117329
69	1.310588989
70	1.274365945
71	1.241458605
72	1.210476929
73	1.180939145
74	1.152904893
75	1.127364809
76	1.103637514
77	1.081018454
78	1.059215631
79	1.039251553
80	1.021505358
81	1.005108966
82	0.99055961
83	0.9758469434
84	0.9616016255
85	0.9488782431
86	0.9370314121
87	0.9257109364
88	0.9158433321
89	0.9056062483
90	0.8970121781
91	0.8887235761
92	0.8809238758
93	0.8733508936
94	0.8670149212
95	0.8614066059
96	0.8560764561
97	0.8507171979
98	0.8460605729
99	0.8411435043
100	0.836310727
101	0.8316396652
102	0.8275076768
103	0.8235468074
104	0.8202454494
105	0.8173897271
106	0.8147998738
107	0.8117801831
108	0.8090637987
109	0.8062092845
110	0.8039028783
111	0.8018932433
112	0.7996579979
113	0.7976369029
114	0.7956555903
115	0.7931045247
116	0.7911016435
117	0.789117066
118	0.7874742211
119	0.785462956
120	0.7839727306
121	0.7823565842
122	0.7811263714
123	0.7798791627
124	0.7783535293
125	0.7773354477
126	0.7764605054
127	0.7746842295
128	0.7735673015
129	0.7721681669
130	0.7711685796
131	0.770245607
132	0.7692896124
133	0.7682597334
134	0.7676037793
135	0.7662673765
136	0.7650623035
137	0.7644355499
138	0.762751663
139	0.761551937
140	0.760843517
141	0.7600603955
142	0.7592306782
143	0.758237209
144	0.7576522349
145	0.7566914998
146	0.7555656037
147	0.7543641682
148	0.7532279515
149	0.7516960985
150	0.7508283807
151	0.7499495514
152	0.7495129622
153	0.748526368
154	0.7478612427
155	0.7470567613
156	0.7460032724
157	0.7454614481
158	0.7446513141
159	0.7434312018
160	0.7424049061
161	0.7418256351
162	0.7408747525
163	0.74018705
164	0.7397712447
165	0.7390359951
166	0.7381824757
167	0.7372449826
168	0.7366457275
169	0.7356171044
170	0.7348754801
171	0.7341131888
172	0.7335941539
173	0.7326572562
174	0.7316849362
175	0.7306028894
176	0.7299179508
177	0.7290192258
178	0.7280664975
179	0.7275959943
180	0.7270674214
181	0.7265338255
182	0.7253409236
183	0.7247078353
184	0.7241283744
185	0.7234920151
186	0.7228816903
187	0.7216176202
188	0.721304334
189	0.7207983119
190	0.7203843252
191	0.7196726944
192	0.7193798949
193	0.7181524129
194	0.7177675144
195	0.7169022729
196	0.7161179216
197	0.7149618118
198	0.7144060183
199	0.7137389258
200	0.7134292375
201	0.7127854373
202	0.7125860091
203	0.7123944629
204	0.7115820268
205	0.7110328748
206	0.7099212571
207	0.7096242016
208	0.708644846
209	0.7083269347
210	0.7071823603
211	0.7064628642
212	0.7061052846
213	0.7055412195
214	0.7053173221
215	0.7046594897
216	0.7043347399
217	0.7041296573
218	0.7035348761
219	0.7028556252
220	0.7026516017
221	0.7019862745
222	0.7016261338
223	0.7007979551
224	0.6998119777
225	0.6992299414
226	0.6989078765
227	0.6982970138
228	0.6978567172
229	0.6973072153
230	0.6967624067
231	0.6961400914
232	0.6957888662
233	0.695098756
234	0.694691096
235	0.6937875403
236	0.6930744266
237	0.6923152125
238	0.6918599549
239	0.69139395
240	0.6908057822
241	0.6903148428
242	0.6899480149
243	0.6895601128
244	0.6891680722
245	0.688248826
246	0.6880768692
247	0.6878158832
248	0.6873350809
249	0.6869729194
250	0.6863183897
251	0.6856066328
252	0.6852522026
253	0.684515888
254	0.6842562172
255	0.6836599193
256	0.6832070694
257	0.6827094017
258	0.6822365066
259	0.681705902
260	0.6809351122
261	0.6806925462
262	0.6801208369
263	0.6798312541
264	0.6793939023
265	0.6788243234
266	0.6780999051
267	0.6778233709
268	0.6775221921
269	0.6772060224
270	0.6763817446
271	0.6757083738
272	0.6752677244
273	0.6746435649
274	0.6741668587
275	0.6735917075
276	0.672762224
277	0.6723989754
278	0.6717983654
279	0.6713893785
280	0.6709862166
281	0.6706988274
282	0.6702218652
283	0.6700251807
284	0.6697194784
285	0.6692767155
286	0.6687165288
287	0.6682866729
288	0.668162193
289	0.667752504
290	0.6674201282
291	0.6670795406
292	0.6668759838
293	0.6661113064
294	0.6657826665
295	0.6653193973
296	0.6650446916
297	0.6643802369
298	0.6639517935
299	0.6633901403
300	0.6629380171
301	0.66258198
302	0.6622694746
303	0.6618073112
304	0.6615172034
305	0.6611157578
306	0.6608415377
307	0.6602715105
308	0.659872286
309	0.6594752903
310	0.6592184563
311	0.6590319955
312	0.658459916
313	0.6580950578
314	0.657825517
315	0.6574528685
316	0.6571437269
317	0.6564649071
318	0.6560202801
319	0.6555200559
320	0.6551051984
321	0.654788714
322	0.6544643833
323	0.6541938693
324	0.6539627309
325	0.6535739684
326	0.6533430568
327	0.6532041062
328	0.6529569528
329	0.6524681001
330	0.6521983241
331	0.6516179753
332	0.6511573969
333	0.6507511118
334	0.6505592125
335	0.6500585279
336	0.6493228816
337	0.6489360176
338	0.6486887643
339	0.6484915317
340	0.6479412058
341	0.6477899966
342	0.6475039295
343	0.64736131
344	0.6471708701
345	0.6468505129
346	0.6465931148
347	0.6464133703
348	0.6461532991
349	0.6459736969
350	0.6453364285
351	0.6448166916
352	0.6447218774
353	0.6445285177
354	0.6444041674
355	0.6439802808
356	0.6435483526
357	0.6431683045
358	0.6429669697
359	0.6424931159
360	0.64220646
361	0.6420246962
362	0.6417039864
363	0.6415480577
364	0.6409972853
365	0.6407277657
366	0.6402057693
367	0.6400188607
368	0.6395088874
369	0.6392865637
370	0.6389173749
371	0.6385838183
372	0.6382382565
373	0.6377547841
374	0.6374669172
375	0.6370878817
376	0.6364403628
377	0.6360072073
378	0.6357687143
379	0.6354045148
380	0.6351987198
381	0.634993243
382	0.6346887847
383	0.6345294975
384	0.6339895172
385	0.6336010731
386	0.6330746336
387	0.6328202849
388	0.6326843407
389	0.6323389039
390	0.6318971385
391	0.6317378149
392	0.6315843494
393	0.6314275735
394	0.6312490531
395	0.6311137532
396	0.6306879215
397	0.6304584424
398	0.6302802953
399	0.629857792
400	0.6297026337
401	0.6292219542
402	0.629003753
403	0.6283987319
404	0.6280575731
405	0.6277694064
406	0.6276427643
407	0.6273844835
408	0.6268470628
409	0.6262982317
410	0.626018726
411	0.6258672748
412	0.6257501106
413	0.6254272224
414	0.6250689583
415	0.6249569531
416	0.6244622639
417	0.6243219722
418	0.6242106212
419	0.6237021282
420	0.6232895676
421	0.6228196214
422	0.6226759059
423	0.6224182213
424	0.6219319603
425	0.6218070669
426	0.6213274162
427	0.621221973
428	0.6211194259
429	0.6207049816
430	0.6202227648
431	0.6200948386
432	0.6198086779
433	0.6192446011
434	0.6187856552
435	0.6184269272
436	0.6181934355
437	0.6180978395
438	0.6178907127
439	0.6176089333
440	0.6174692808
441	0.6170956702
442	0.6167113974
443	0.6163554659
444	0.6160369194
445	0.6159237955
446	0.6156635882
447	0.6154130943
448	0.6151529755
449	0.6147047482
450	0.6141413491
451	0.6137402726
452	0.6134738293
453	0.6132421129
454	0.6130989101
455	0.6129702375
456	0.6126243062
457	0.6121052204
458	0.6119596153
459	0.6117092576
460	0.6114819216
461	0.6112321882
462	0.6111473635
463	0.6109116441
464	0.610518643
465	0.6104229827
466	0.6103072443
467	0.6102303781
468	0.6098410267
469	0.6097289225
470	0.6092730681
471	0.6089118296
472	0.6086022663
473	0.6082886591
474	0.6079169992
475	0.6076047228
476	0.6075181639
477	0.6072607455
478	0.6070438793
479	0.606746139
480	0.6065449226
481	0.6061486055
482	0.606048885
483	0.6055433659
484	0.6053246284
485	0.6049804082
486	0.6047309437
487	0.6043481518
488	0.6042366645
489	0.6038595561
490	0.6033012065
491	0.6030385859
492	0.6025933148
493	0.6023251182
494	0.6020768412
495	0.6017217995
496	0.6015625821
497	0.6011930292
498	0.6009178462
499	0.600782235
500	0.6004733963
501	0.600384661
502	0.6000591094
503	0.5999412659
504	0.5996178209
505	0.5994286376
506	0.5991098857
507	0.5988030192
508	0.5984471187
509	0.5983152971
510	0.597958482
511	0.5977896569
512	0.5976075098
513	0.5972542817
514	0.5970653813
515	0.5967665405
516	0.5966184373
517	0.5963227305
518	0.5962360662
519	0.5959455859
520	0.5958885078
521	0.5955801447
522	0.5952435401
523	0.5951030155
524	0.5949419064
525	0.5948104657
526	0.5943973602
