iter	Passed	Remaining
0	140	140412
1	145	72545
2	151	50458
3	155	38700
4	158	31509
5	161	26707
6	163	23208
7	166	20682
8	168	18591
9	170	16892
10	172	15501
11	174	14341
12	175	13358
13	177	12513
14	179	11778
15	181	11153
16	183	10588
17	184	10081
18	186	9626
19	188	9219
20	190	8867
21	191	8531
22	193	8224
23	196	8005
24	198	7746
25	200	7505
26	201	7279
27	203	7076
28	205	6883
29	207	6704
30	208	6532
31	211	6405
32	213	6257
33	215	6115
34	216	5982
35	219	5875
36	222	5783
37	224	5687
38	226	5593
39	228	5488
40	230	5387
41	232	5297
42	233	5206
43	235	5118
44	237	5035
45	238	4956
46	241	4895
47	243	4825
48	245	4756
49	246	4692
50	248	4628
51	250	4564
52	252	4503
53	253	4444
54	256	4408
55	258	4352
56	259	4298
57	261	4249
58	263	4199
59	264	4150
60	266	4103
61	268	4059
62	270	4030
63	272	3988
64	274	3948
65	276	3908
66	277	3869
67	279	3831
68	281	3795
69	283	3762
70	286	3743
71	287	3710
72	289	3679
73	291	3648
74	293	3616
75	294	3584
76	296	3555
77	298	3527
78	301	3510
79	303	3485
80	304	3458
81	306	3431
82	308	3406
83	310	3380
84	311	3356
85	313	3332
86	316	3320
87	318	3301
88	320	3278
89	321	3255
90	323	3233
91	325	3211
92	327	3191
93	328	3169
94	331	3161
95	333	3141
96	335	3121
97	336	3101
98	338	3082
99	340	3063
100	342	3044
101	343	3027
102	346	3020
103	349	3010
104	351	3000
105	354	2988
106	356	2976
107	359	2968
108	362	2960
109	363	2944
110	365	2927
111	367	2916
112	369	2900
113	371	2885
114	372	2870
115	374	2857
116	377	2852
117	379	2837
118	381	2822
119	382	2808
120	384	2794
121	386	2780
122	388	2767
123	389	2753
124	392	2749
125	394	2737
126	396	2725
127	398	2712
128	399	2699
129	401	2687
130	403	2676
131	405	2664
132	408	2659
133	409	2648
134	411	2637
135	413	2625
136	414	2614
137	416	2602
138	418	2592
139	420	2581
140	423	2577
141	425	2568
142	426	2557
143	428	2547
144	430	2536
145	432	2528
146	433	2518
147	435	2508
148	438	2504
149	440	2495
150	442	2485
151	443	2475
